,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
2532,5782,Beleuchtung > Straßenlaternen defekt,"47.7139943556672, 9.17150694876909",Stadtwerke Konstanz,Gelöst,12.01.2022,"Kornblumenweg 25, 78465 Konstanz, Germany                    ",Straßenlaterne 22 defekt,
2533,5783,Beleuchtung > Straßenlaternen defekt,"47.6708890628225, 9.16555651933955",Stadtwerke Konstanz,Gelöst,13.01.2022,"Reichenaustraße 21, 78467 Konstanz, Germany                    ","Die Beleuchtung auf den Steg beim Bodenseeforum ist bis auf 2x Leuchten im Sockel der Sitzbänke ausgefallen.
(Adresssuche nach: am seerheinufer)",
2534,5784,Beleuchtung > Straßenlaternen defekt,"47.6842960507036, 9.166289716959",Stadtwerke Konstanz,Gelöst,13.01.2022,"Sonnentauweg 42, 78467 Konstanz, Germany                    ",Leuchte defekt,
2536,5786,Müll/Sauberkeit > Illegaler Müll,"47.6578953990724, 9.17460255324841",Technische Betriebe,Gelöst,14.01.2022,"Bodanpl. 1, 78462 Konstanz, Germany                    ","Mehrere Müllsäcke, Speisereste uns Sperrmüll abgestellt.",
2537,5787,Beleuchtung > Straßenlaternen defekt,"47.6584127996143, 9.1666936564003",Stadtwerke Konstanz,Gelöst,15.01.2022,"Blarerstraße 49, 78462 Konstanz, Deutschland                    ","Weg am SAUBACH. Lampe Nr 20 defekt. 
Ich stelle fest, dass abwechselnd immer wieder wechselnd weitere Lampen in den letzten 2-3 Wochen auf diesem Wege ausgefallen sind",
2538,5788,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6722702567725, 9.17610660195351",Technische Betriebe,Gelöst,15.01.2022,"Sankt-Gebhard-Straße 31, 78462 Konstanz, Germany                    ",Zerbrochenen Spiegel,
2539,5789,Beleuchtung > Straßenlaternen defekt,"47.6819196196038, 9.20111284132137",Stadtwerke Konstanz,Gelöst,15.01.2022,"Sepp-Biehler-Straße 7, 78464 Konstanz, Deutschland                    ",Bei der Strassenleuchte entlang Sepp Biehler Straße direkt am Aufgang zur Treppe der Grundschule Allmannsdorf ist die Glas/Kunststoffabdeckung zertrümmert. Scherben sind aufgelesen und im Mülleimer neben der Tischtennisplatte entsorgt.,
2540,5790,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6738630673083, 9.15176657053299",Technische Betriebe,Gelöst,15.01.2022,"Rudolf-Diesel-Straße 2, 78467 Konstanz, Germany                    ",parkstreifen total verdreckt.,
2542,5792,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6615352, 9.1759149",Technische Betriebe,Gelöst,15.01.2022,"Salmannsweilergasse 12, 78462 Konstanz, Germany                    ","Vor dem roten Gugelhan liegt erbrochenes und etwas weiter östlich Glasflaschen und Glasscherben. Aktuell passiert das häufiger und belästigt die Anwohner
(Adresssuche nach: Salmannsweilergasse 12)",
2543,5793,Beleuchtung > Straßenlaternen defekt,"47.6846172952112, 9.20034461957992",Stadtwerke Konstanz,Gelöst,16.01.2022,"Mainaustraße 179B, 78464 Konstanz, Deutschland                    ","am Sepp-Biehler_Weg wurden gesternvon Jugendlichen 2 Straßenlaternen beschädigt. Das Glas liegt auf dem Weg. 
Das ist schon öfters passiert. Vielleicht kann die Stadt mit der Polizei absprechen, dass sie ab und zu abends durch den Sepp-Biehler-Weg fährt
(Adresssuche nach: mainaustraße 179a)",
2545,5795,Müll/Sauberkeit > Illegaler Müll,"47.6837856969888, 9.16428749565924",Technische Betriebe,Gelöst,16.01.2022,"Erlenweg 10, 78467 Konstanz, Germany                    ","Wo am Knick des Erikawegs der Fußweg Richtung Fürstenbergweg beginnt, liegt an den Betonpfosten ein alter Küchenofen. Dieser befand sich den Sommer über im Wäldchen der der Haidelmoos-Schule. Im Herbst hat ihn jemand aus dem Gebüsch gezogen und am Weg platziert. Dort steht er nun.",
2546,5796,Müll/Sauberkeit > Illegaler Müll,"47.6817666045551, 9.16385779578925",Technische Betriebe,Gelöst,16.01.2022,"Haidelmoosweg 12, 78467 Konstanz, Germany                    ","Das kleine Wäldchen am Knick des Haidelmooswegs (Nordostseite) wird leider immer wieder als Müllplatz missbraucht. Die letzte Reinigung ist schon über eine Jahr her und es wäre wieder einmal an der Zeit. Auch der hier vorbeilaufende Fußweg vom Haidelmoosweg Richtung Rosmarinheideweg könnte bei dieser Gelegenheit von der Reinigungsequipe abgegangen werden, denn auch hier landet immer wieder Müll im Gebüsch.",
2548,5798,Müll/Sauberkeit > Illegaler Müll,"47.7360335564826, 9.1392326307919",OV Dingelsdorf,Gelöst,16.01.2022,"P4PQ+CM Konstanz, Germany                    ","Müll am Forstweg, siehe Bild",
2550,5800,Müll/Sauberkeit > Illegaler Müll,"47.6845357573464, 9.18151997029781",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,17.01.2022,"M5MJ+RJ Konstanz, Germany                    ",2 Autobatterien auf Waldweg,
2553,5803,Beleuchtung > Straßenlaternen defekt,"47.6674801725278, 9.197292133008",Stadtwerke Konstanz,Gelöst,17.01.2022,"Eichhornstraße 46, 78464 Konstanz, Germany                    ",Seit geraumer Zeit sind zwei nebeneinander stehende Stassenlaternen defekt,
2554,5804,Müll/Sauberkeit > Illegaler Müll,"47.6806964814929, 9.17730085551739",Technische Betriebe,Gelöst,17.01.2022,"Käthe-Kollwitz-Weg 1, 78464 Konstanz, Germany                    ",Einkaufswagen,
2556,5806,Beleuchtung > Straßenlaternen defekt,"47.6695461049558, 9.17479667812586",Stadtwerke Konstanz,in Bearbeitung,17.01.2022,"Reichenaustraße 1, 78467 Konstanz, Germany                    ",Laterne Nr 3 ohne Funktion,
2557,5807,Beleuchtung > Straßenlaternen defekt,"47.6814251323369, 9.18295965397323",Stadtwerke Konstanz,Gelöst,18.01.2022,"Gottfried-von-Herder-Weg 11, 78464 Konstanz, Deutschland                    ","Die Straßenlaterne Nr. 2 (vor Haus Nr. 10) brennt nur jede 2. Nacht!?! 
(Adresssuche nach: Gottfried von Herder Weg)",
2558,5808,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6822473771259, 9.14742334631633",Melanie Hemberger,in Bearbeitung,19.01.2022,"Riedstraße 35, 78467 Konstanz, Germany                    ","Baum/Strauch wächst in Gehweg.
Fußgänger müssen auf den Radweg ausweichen.",
2561,5811,Müll/Sauberkeit > Illegaler Müll,"47.6798332319196, 9.18949018280185",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,19.01.2022,"Sonnenbühlstraße 51, 78464 Konstanz, Germany                    ","Sehr geehrte Damen und Herren,
jetzt wurde bereits zum zweiten Mal ( eines Tages) der Inhalt des Mülleimers neben den Mülleimer ausgeleert. Ich hatte ihn wieder eingesammelt und  diesen wieder in den Müllsack gepackt. Zugegebenermaßen überwiegend gefüllte Hundebeutel. Offensichtlich möchte da jemand ein schlechtes Bild auf die Hundehalter werfen. 
Für Sie zur Kenntnis und gegebenenfalls weiterer Veranlassung.",
2562,5812,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6784612616379, 9.17250237698968",Technische Betriebe,Gelöst,19.01.2022,"L220 81, 78467 Konstanz, Deutschland                    ",2m hohe Binsen am Ende des Mittelstreifens verdecken im Sommer die Sicht auf entgegenkommenden Verkehr beim Abbiegen stadteinwärts zum Friedhof . Jetzt im Winter sind sie kahl und könnten ausgegraben werden.,
2564,5814,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6774168256989, 9.19722741366956",Technische Betriebe,Gelöst,21.01.2022,"Mainaustraße 100, 78464 Konstanz, Germany                    ","Aufgrund der Baustelle in der Mainaustraße wird der komplette Radverkehr durch den Hockgraben geleitet. Wäre es möglich bei winterlichen Bedingungen den Weg eisfrei zu bekommen oder zumindest zu streuen? Die letzten 3 Tage war es im Hockgraben sehr glatt. 
Vielen Dank",
2565,5815,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.673349402405, 9.1764921694994",Technische Betriebe,Gelöst,21.01.2022,"Abholung: Gustav-Schwab-Straße 14 Anmeldung:, Gustav-Schwab-Straße 14g/1. OG, 78467 Konstanz, Germany                    ",Strassenschild zum x-ten Mal umgeworfen  ein besseres/tieferes Fundament würde sicher helfen,
2566,5816,Müll/Sauberkeit > Illegaler Müll,"47.7119169199657, 9.13671772889574",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,22.01.2022,"P46P+QM Konstanz, Germany                    ","An dem Radweg nach Dettingen (vom Kreisel ca. ein km, an der entschärften Kurve) hat jemand Müll im großen Stil entsorgt, sieht aus wie Kneipenmüll. 
Dann liegen auch noch eine Menge Plastikteile von einem Unfall kurz vor Dettingen auf und am Radweg, auf ca. 150 Metern verteilt.",
2567,5817,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.7006028147122, 9.1462358446861",Technische Betriebe,in Bearbeitung,22.01.2022,"P42W+6F Konstanz, Germany                    ","Dieser Schaden ist keineswegs „gelöst“, es ist garnichts passiert, außer das die Schäden noch schlimmer sind.",
2569,5819,Müll/Sauberkeit > Illegaler Müll,"47.6884438, 9.1707972",Technische Betriebe,Gelöst,23.01.2022,"M5QC+98 Konstanz, Germany                    ","Der Grillplatz Ulmisried müsste dringend von Altglas/blauen Flaschen bzw. Scherben gereinigt werden. Möglichst bevor Tierarztkosten wegen eingespießter Scherben entstehen. Die blauen Flaschen liegen auch in der näheren Umgebung im Unterholz.
(Adresssuche nach: Grillplatz Ulmisried)",
2570,5820,Müll/Sauberkeit > Illegaler Müll,"47.6628199, 9.1735081",Stadtverwaltung,Ungelöst Abgeschlossen,25.01.2022,"Sankt-Stephans-Platz 35, 78462 Konstanz, Germany                    ","Auf dem Anwohnerparkplatz neben dem Gebäude Sankt-Stephans-Platz 35 sind Mülltonnen abgestellt, sodass parkende Autos nicht korrekt parken können und damit in die Straße hineinragen.
(Adresssuche nach: Sankt-Stephans-Platz 35)",
2571,5821,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6737909877819, 9.18792072683573",Stadtverwaltung,Gelöst,26.01.2022,"Allmannsdorfer Str. 25, 78464 Konstanz, Germany                    ",Fußgängerampel in der Allmannsdorferstr (Höhe Krankenhaus) defekt. Ampel geht gar nicht.,
2572,5822,"Straßen, Fahrrad & Verkehr > Abgemeldete Fahrzeuge","47.6785699029572, 9.15386793096275","Behrendt, Chrtistian",Gelöst,26.01.2022,"Max-Stromeyer-Straße 162, 78467 Konstanz, Germany                    ",Fahrzeug steht seit mehreren Monaten (mindestens ein halbes Jahr) unbewegt und ohne HU an dieser Stelle und blockiert wertvolle Parkplätze.,
2573,5823,Müll/Sauberkeit > Mülleimer überfüllt,"47.6841597198805, 9.1903293505311",Technische Betriebe,Gelöst,27.01.2022,"M5MR+M4 Konstanz, Germany                    ",Mülleimer beschädigt,
2574,5824,Beleuchtung > Straßenlaternen defekt,"47.7143557407085, 9.16916705667973",Stadtwerke Konstanz,Gelöst,27.01.2022,"Sankt-Katharinen-Weg 30, 78465 Konstanz, Germany                    ",Nr. 11 defekt,
2575,5825,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6755489391415, 9.18246410787106",Melanie Hemberger,in Bearbeitung,28.01.2022,"Friedrichstraße 21, 78467 Konstanz, Germany                    ",Gehweg kaum nutzbar wegen starken Pflanzenwuchs,
2576,5826,Beleuchtung > Straßenlaternen defekt,"47.6700073649277, 9.18438021093607",Stadtwerke Konstanz,Gelöst,28.01.2022,"Buchnerstraße 19, 78464 Konstanz, Germany                    ",Straßenbeleuchtung defekt,
2577,5827,Müll/Sauberkeit > Mülleimer überfüllt,"47.6741815484214, 9.17875327169895",Technische Betriebe,Gelöst,29.01.2022,"Steinstraße 14, 78467 Konstanz, Germany                    ",Zustand nicht nur heute...,
2578,5828,Müll/Sauberkeit > Mülleimer überfüllt,"47.6729037495706, 9.17779471725226",Technische Betriebe,Gelöst,29.01.2022,"Gustav-Schwab-Straße 10, 78467 Konstanz, Germany                    ",Ziemlich voll,
2580,5830,Müll/Sauberkeit > Mülleimer überfüllt,"47.6776571, 9.2088106",Technische Betriebe,Gelöst,29.01.2022,"Überlinger Str. 13, 78464 Konstanz, Germany                    ",Müll ist voll.,
2581,5831,Müll/Sauberkeit > Mülleimer überfüllt,"47.6746215820312, 9.18856692741826",Technische Betriebe,Gelöst,29.01.2022,"Grünenbergweg 35, 78464 Konstanz, Germany                    ",Mülleimer voll,
2582,5832,Beleuchtung > Straßenlaternen defekt,"47.6682796325321, 9.19782422439311",Stadtwerke Konstanz,in Bearbeitung,29.01.2022,"Brucknerstraße 6, 78464 Konstanz, Deutschland                    ",Clara-Schuhmann-Straße Durchgang zur Brucknerstraße; 2 defekte Straßenlaternen,
2583,5833,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6775595382412, 9.20872701235946",Technische Betriebe,in Bearbeitung,30.01.2022,"Überlinger Str. 13, 78464 Konstanz, Deutschland                    ","Das Strassenschild am Fohrenbühlweg 7, am Abwasserpumpwerk Konstanz-Staad am Hörlepark ist defekt.
(Adresssuche nach: Fohrenbühlweg)",
2584,5834,Beleuchtung > Straßenlaternen defekt,"47.6890754938926, 9.14124797141117",Stadtwerke Konstanz,Gelöst,30.01.2022,"Eichbühlstraße 19, 78467 Konstanz, Germany                    ",Straßenlampe Nr. 12 defekt,
2585,5835,Müll/Sauberkeit > Illegaler Müll,"47.7367446984986, 9.12735218303108",OV Dettingen-Wallhausen,Ungelöst Abgeschlossen,30.01.2022,"P4PG+MW Konstanz, Germany                    ","Müllablagerung, Folien, Reifen am Naturschutzgebiet Hagstaffelweiher",
2586,5836,Beleuchtung > Straßenlaternen defekt,"47.6675337175075, 9.17346395552159",Stadtwerke Konstanz,Gelöst,30.01.2022,"Webersteig 5, 78462 Konstanz, Germany                    ",Ohne Funktion,
2587,5837,Beleuchtung > Straßenlaternen defekt,"47.656840887592, 9.17357472507357",Stadtwerke Konstanz,Gelöst,30.01.2022,"Hüetlinstraße 14, 78462 Konstanz, Germany                    ","Laterne defekt, Ecke sehr dunkel jetzt",
2588,5838,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6773237042919, 9.18676075002966",Technische Betriebe,Gelöst,30.01.2022,"Uhlandstraße 13H, 78464 Konstanz, Germany                    ","An der Ecke Höhenweg / Uhlandstraße bei der Litfaßsäule ist weiterhin eine Sitzbank mit großen Buchstaben in gelber Farbe besprayt. Der Mangel wurde bereits letztes Jahr im September gemeldet, dann aber scheinbar der Grundschule zugeordnet, jedenfalls hat sich am Zustand nichts geändert. 
Die Bank befindet sich etwa 5 Meter von der Litaßsäule und dem Straßenschild ""Höhenweg"" entfernt.
(Adresssuche nach: höhenweg 8)",
2589,5839,Müll/Sauberkeit > Mülleimer überfüllt,"47.6797940639241, 9.18936413460262",Technische Betriebe,Gelöst,31.01.2022,"Sonnenbühlstraße 51, 78464 Konstanz, Germany                    ","Guten Morgen,
es wäre toll, wenn die beiden Mülleimer bitte rasch geleert werden würden. Sie sind die ""Hundeeimer"" des ganzen Viertels und immer schnell voll.
Dankeschön!",
2590,5840,Müll/Sauberkeit > Illegaler Müll,"47.6623845763143, 9.16763278852155",Technische Betriebe,Ungelöst Abgeschlossen,31.01.2022,"Gottlieber Str. 20, 78462 Konstanz, Germany                    ",Seit über einem Monat steht auf dem Gehweg eine Art Schreibtisch aus Holz.,
2591,5841,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6808805966927, 9.2020476203507",Technische Betriebe,Gelöst,31.01.2022,"B33 142, 78464 Konstanz, Germany                    ","Unterführung Ecke Staaderstr./Mainaustraße die Unterfuehrung ist sehr verdreckt und jemand benutzt es mehrfach als Toilette!!   Die Kinder der Grundschule benutzten dies als Schulweg. Generell gibt es kein Reinigungs intervall in der Unterfuehrung. Ich werde kein Foto bei geben, wegen Ekelfaktor.",
2592,5842,Beleuchtung > Straßenlaternen defekt,"47.6641246073755, 9.17084978267639",Stadtwerke Konstanz,Gelöst,31.01.2022,"Wallgutstraße 12, 78462 Konstanz, Deutschland                    ",Strassenlaterne vor Wallgutstr. 10 ist defekt.,
2593,5843,Beleuchtung > Straßenlaternen defekt,"47.7153973454196, 9.17627039330707",Stadtwerke Konstanz,Gelöst,31.01.2022,"Holländerstraße 10C, 78465 Konstanz, Deutschland                    ",Faistenweg  Laterne Nr. 2 defekt. Weg ist sehr dunkel.,
2595,5845,Beleuchtung > Straßenlaternen defekt,"47.6627613420714, 9.17650886393616",Stadtwerke Konstanz,Gelöst,31.01.2022,"Hofhalde 10 a, 78462 Konstanz, Germany                    ",Strassenlaternen im Kolpingweg Leuchte Nr. 2 und Nr. 3 beim Kolpinghaus defekt.,
2596,5846,Müll/Sauberkeit > Illegaler Müll,"47.6713876, 9.1753176",Technische Betriebe,Gelöst,01.02.2022,"Markgrafenstraße 17, 78467 Konstanz, Germany                    ","Ort: Markgrafenstraße 17, vor der Feuerwehreinfahrt. Ende November 2021 wurde hier Sperrmüll abgelagert. Mittlerweile wurde noch ein Flüssigkeitsbehälter dazugestellt.
(Adresssuche nach: Markgrafenstraße 17)",
2597,5847,Öffentliche Orte/Ufer > Seeufer verschmutzt,"47.6692776949134, 9.16202902140642",Technische Betriebe,Gelöst,01.02.2022,"Winterersteig 23, 78462 Konstanz, Germany                    ","Mülltonne beschädigt, d. h. Teile der Verkleidung wurden abgerissen und liegen im Seerhein",
2598,5848,Beleuchtung > Straßenlaternen defekt,"47.6757117052393, 9.17441479861736",Stadtwerke Konstanz,Gelöst,01.02.2022,"Steinstraße 56, 78467 Konstanz, Germany                    ",Lampe Nr 30 ohne Funktion,
2599,5849,Beleuchtung > Straßenlaternen defekt,"47.7158804, 9.1682922",Stadtwerke Konstanz,Gelöst,02.02.2022,"Zum Purren 22C, 78465 Konstanz, Germany                    ","Laterne defekt
(Adresssuche nach: Zum Purren 22)",
2601,5851,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.7416998788514, 9.15149089890567",OV Dingelsdorf,Gelöst,03.02.2022,"Bohlstraße 27, 78465 Konstanz, Deutschland                    ",Dringend! Die kranke Linde am Ende der Bohlstr. Wirft Äste ab. Bald zerstören sie Autos u.der neu errichtete Zaun! Wir beobachten das schon lange.,
2604,5854,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6720216888946, 9.17929507791996",Technische Betriebe,Gelöst,04.02.2022,"Gustav-Schwab-Straße 2, 78467 Konstanz, Germany                    ",Schild Jahn-/Gustac-Schwab wurde in Vorgarten geworfen,
2605,5855,Müll/Sauberkeit > Illegaler Müll,"47.673130325239, 9.15756428353532",Technische Betriebe,Gelöst,04.02.2022,"Line-Eid-Straße 2, 78467 Konstanz, Deutschland                    ","Brücke zwischenn Ibis udn BB Hotel.
Am Rondell biem Ibis Hotel wurden Müllsäcke abgelegt.
(Adresssuche nach: oberlohnstr. Rodell beim Ibis)",
2607,5857,Beleuchtung > Straßenlaternen defekt,"47.6681148861728, 9.15938302874565",Stadtwerke Konstanz,Gelöst,05.02.2022,"Sankt-Martins-Weg 15, 78462 Konstanz, Germany                    ",Straßenlaterne ist defekt und leuchtet nicht,
